Table 1: The Index of Consumer Sentiment
Month,Year,Index,
1,1978,83.7,
2,1978,84.3,
3,1978,78.8,
4,1978,81.6,
5,1978,82.9,
6,1978,80,
7,1978,82.4,
8,1978,78.4,
9,1978,80.4,
10,1978,79.3,
11,1978,75,
12,1978,66.1,
1,1979,72.1,
2,1979,73.9,
3,1979,68.4,
4,1979,66,
5,1979,68.1,
6,1979,65.8,
7,1979,60.4,
8,1979,64.5,
9,1979,66.7,
10,1979,62.1,
11,1979,63.3,
12,1979,61,
1,1980,67,
2,1980,66.9,
3,1980,56.5,
4,1980,52.7,
5,1980,51.7,
6,1980,58.7,
7,1980,62.3,
8,1980,67.3,
9,1980,73.7,
10,1980,75,
11,1980,76.7,
12,1980,64.5,
1,1981,71.4,
2,1981,66.9,
3,1981,66.5,
4,1981,72.4,
5,1981,76.3,
6,1981,73.1,
7,1981,74.1,
8,1981,77.2,
9,1981,73.1,
10,1981,70.3,
11,1981,62.5,
12,1981,64.3,
1,1982,71,
2,1982,66.5,
3,1982,62,
4,1982,65.5,
5,1982,67.5,
6,1982,65.7,
7,1982,65.4,
8,1982,65.4,
9,1982,69.3,
10,1982,73.4,
11,1982,72.1,
12,1982,71.9,
1,1983,70.4,
2,1983,74.6,
3,1983,80.8,
4,1983,89.1,
5,1983,93.3,
6,1983,92.2,
7,1983,92.8,
8,1983,90.9,
9,1983,89.9,
10,1983,89.3,
11,1983,91.1,
12,1983,94.2,
1,1984,100.1,
2,1984,97.4,
3,1984,101,
4,1984,96.1,
5,1984,98.1,
6,1984,95.5,
7,1984,96.6,
8,1984,99.1,
9,1984,100.9,
10,1984,96.3,
11,1984,95.7,
12,1984,92.9,
1,1985,96,
2,1985,93.7,
3,1985,93.7,
4,1985,94.6,
5,1985,91.8,
6,1985,96.5,
7,1985,94,
8,1985,92.4,
9,1985,92.1,
10,1985,88.4,
11,1985,90.9,
12,1985,93.9,
1,1986,95.6,
2,1986,95.9,
3,1986,95.1,
4,1986,96.2,
5,1986,94.8,
6,1986,99.3,
7,1986,97.7,
8,1986,94.9,
9,1986,91.9,
10,1986,95.6,
11,1986,91.4,
12,1986,89.1,
1,1987,90.4,
2,1987,90.2,
3,1987,90.8,
4,1987,92.8,
5,1987,91.1,
6,1987,91.5,
